years_experience,skills_match,country,job_type,education,company_size,num_applications,got_offer
2,4,USA,onsite,bootcamp,large,32,0
11,7,USA,onsite,phd,small,34,1
9,9,USA,onsite,bootcamp,small,12,1
2,7,Poland,hybrid,self-taught,medium,24,0
4,1,Lithuania,onsite,phd,large,40,0
5,6,UK,hybrid,master,small,21,0
8,7,Germany,hybrid,master,large,29,1
12,10,Ukraine,remote,master,small,23,1
13,5,Spain,hybrid,master,medium,33,1
11,4,USA,hybrid,master,medium,8,1
4,10,Germany,onsite,bootcamp,medium,42,1
14,8,USA,hybrid,phd,medium,13,1
0,2,UK,onsite,self-taught,small,5,0
13,9,USA,onsite,master,large,41,1
13,3,Spain,onsite,master,medium,10,1
13,8,Ukraine,remote,self-taught,medium,14,1
3,5,Netherlands,onsite,self-taught,medium,24,0
4,7,Netherlands,hybrid,master,large,11,0
11,6,UK,onsite,bootcamp,small,46,1
9,10,Netherlands,onsite,self-taught,small,3,1
9,1,Poland,onsite,phd,small,29,1
4,2,Lithuania,remote,phd,small,48,0
6,0,Poland,hybrid,bootcamp,large,30,0
3,8,Germany,remote,bachelor,large,49,0
0,6,Poland,hybrid,bootcamp,large,37,0
13,0,Germany,remote,master,medium,7,0
13,2,Germany,hybrid,bachelor,large,17,0
4,3,Lithuania,remote,master,small,20,0
6,3,Spain,onsite,phd,large,11,0
9,4,Ukraine,remote,self-taught,medium,44,1
9,2,UK,remote,master,small,25,1
5,2,Lithuania,onsite,phd,large,24,0
4,0,UK,onsite,bootcamp,small,2,0
3,6,Netherlands,hybrid,master,small,27,0
1,10,Netherlands,hybrid,phd,large,19,1
3,9,Poland,hybrid,self-taught,large,29,1
14,0,Germany,remote,master,medium,37,1
9,1,USA,hybrid,phd,large,11,0
9,3,USA,remote,master,large,19,1
2,3,UK,remote,self-taught,large,28,0
9,4,Germany,hybrid,master,small,39,1
0,10,UK,hybrid,master,medium,21,1
7,1,Lithuania,remote,phd,small,26,0
4,3,Spain,onsite,bachelor,large,22,0
12,0,Ukraine,onsite,master,medium,6,1
3,1,Lithuania,remote,bachelor,large,11,0
7,0,Germany,hybrid,bootcamp,small,14,0
6,9,Germany,remote,master,small,36,1
1,9,Spain,remote,bachelor,large,40,1
0,3,UK,hybrid,bootcamp,medium,41,0
11,3,Poland,onsite,phd,small,2,1
10,6,Poland,remote,master,large,43,1
3,9,Spain,onsite,phd,large,20,1
7,10,Poland,onsite,bootcamp,large,22,1
11,10,USA,hybrid,phd,medium,39,1
1,8,Poland,remote,phd,large,4,1
2,8,Poland,remote,self-taught,large,29,0
11,4,Poland,onsite,bootcamp,small,46,1
0,9,USA,onsite,phd,large,24,1
0,0,UK,hybrid,bachelor,medium,1,0
12,0,Poland,onsite,bootcamp,large,24,0
2,5,Netherlands,hybrid,self-taught,medium,30,0
10,1,USA,remote,master,large,12,0
4,7,Spain,hybrid,phd,large,19,1
11,8,Lithuania,onsite,bachelor,large,37,1
2,3,Spain,remote,self-taught,medium,40,0
0,4,Lithuania,hybrid,bootcamp,small,43,0
0,10,Ukraine,remote,phd,medium,4,1
7,7,Spain,hybrid,self-taught,small,15,1
9,2,Netherlands,onsite,self-taught,medium,20,0
10,4,Lithuania,onsite,bachelor,large,44,0
11,2,Lithuania,remote,master,large,20,0
12,9,Germany,remote,master,small,21,1
12,2,Lithuania,remote,master,small,10,1
11,2,Lithuania,hybrid,bootcamp,medium,30,0
14,6,Germany,onsite,self-taught,medium,24,1
13,6,Poland,remote,bootcamp,small,48,1
1,6,Poland,remote,self-taught,small,40,0
12,9,Germany,remote,bachelor,medium,40,1
2,7,USA,hybrid,bachelor,small,38,0
1,4,Ukraine,remote,bootcamp,small,3,0
2,4,Lithuania,remote,bootcamp,small,29,0
6,3,Lithuania,hybrid,bachelor,small,8,0
0,6,Germany,hybrid,phd,large,29,0
9,9,Germany,remote,master,large,10,1
7,3,USA,remote,master,small,5,0
12,1,Netherlands,hybrid,bachelor,medium,11,0
9,3,Poland,onsite,master,large,4,1
9,7,Spain,hybrid,phd,medium,49,1
9,8,Netherlands,onsite,phd,medium,35,1
13,2,UK,remote,self-taught,large,40,0
1,6,Poland,remote,bootcamp,medium,12,0
2,8,Lithuania,onsite,master,medium,21,0
8,10,UK,hybrid,phd,small,16,1
6,3,Netherlands,remote,bootcamp,small,14,0
3,9,Germany,onsite,bootcamp,small,21,0
9,2,USA,hybrid,self-taught,large,48,0
4,4,Poland,onsite,bootcamp,small,27,0
1,0,USA,hybrid,bootcamp,medium,36,0
12,2,UK,hybrid,bachelor,medium,1,0
10,7,Poland,hybrid,self-taught,medium,1,1
12,10,Ukraine,hybrid,self-taught,medium,22,1
7,7,Ukraine,onsite,master,medium,15,1
3,3,Netherlands,onsite,bootcamp,large,20,0
8,1,Lithuania,onsite,master,medium,3,0
4,7,Ukraine,onsite,phd,large,14,0
12,7,Ukraine,onsite,bootcamp,medium,9,1
8,9,Spain,hybrid,phd,large,19,1
3,3,USA,remote,bachelor,large,40,0
9,2,USA,remote,bootcamp,medium,34,0
4,1,Ukraine,onsite,master,medium,4,0
8,8,Spain,onsite,master,medium,33,1
7,0,USA,remote,bootcamp,medium,43,0
2,6,USA,hybrid,master,small,37,0
0,4,Poland,onsite,bootcamp,small,2,0
2,7,Poland,hybrid,self-taught,large,27,0
3,3,Spain,remote,master,large,45,0
1,6,UK,remote,bootcamp,small,17,1
0,4,Lithuania,onsite,bootcamp,large,49,0
6,4,Netherlands,hybrid,master,medium,31,0
7,8,Ukraine,onsite,self-taught,large,41,0
6,8,Ukraine,remote,master,large,6,1
13,8,Netherlands,hybrid,bootcamp,large,31,1
4,5,Ukraine,onsite,self-taught,small,3,0
11,5,Ukraine,onsite,phd,small,40,1
0,4,UK,onsite,bachelor,large,3,0
6,8,USA,remote,master,medium,33,1
12,9,Lithuania,onsite,bootcamp,large,13,1
6,7,Ukraine,hybrid,self-taught,small,21,0
8,6,Spain,onsite,self-taught,medium,37,1
2,6,UK,remote,phd,large,16,0
8,5,Ukraine,onsite,master,small,21,0
13,4,Spain,remote,self-taught,medium,48,1
0,3,Poland,remote,phd,large,44,0
0,2,USA,hybrid,bootcamp,small,13,0
13,2,Germany,hybrid,phd,medium,4,1
3,5,Ukraine,onsite,master,large,31,0
8,3,Spain,remote,phd,medium,9,1
5,5,UK,remote,self-taught,medium,48,0
12,2,USA,hybrid,self-taught,medium,33,0
10,3,Lithuania,hybrid,bachelor,small,37,0
2,8,UK,onsite,phd,large,37,0
0,4,Poland,remote,bootcamp,medium,24,0
3,6,Netherlands,hybrid,master,medium,25,1
11,9,Ukraine,onsite,bachelor,medium,41,1
12,1,Lithuania,remote,phd,small,29,1
8,4,Spain,remote,bootcamp,medium,40,0
2,8,Ukraine,hybrid,bachelor,small,47,1
11,10,Spain,onsite,self-taught,small,36,1
8,2,Lithuania,hybrid,master,medium,15,0
6,8,Spain,onsite,phd,medium,45,1
11,10,UK,remote,bootcamp,small,18,1
13,5,USA,onsite,self-taught,small,20,1
14,3,Spain,onsite,bachelor,medium,5,1
3,6,Poland,onsite,master,small,18,1
2,7,USA,onsite,bachelor,small,40,1
9,5,UK,onsite,bachelor,medium,1,1
14,4,Ukraine,hybrid,bootcamp,medium,19,1
4,5,Germany,onsite,self-taught,large,23,0
4,4,Ukraine,onsite,phd,medium,26,0
2,7,Spain,remote,bootcamp,medium,49,0
11,0,Spain,onsite,master,medium,29,0
8,10,Poland,remote,bachelor,large,34,1
3,6,UK,hybrid,master,small,19,0
10,9,Poland,hybrid,bootcamp,medium,48,1
4,9,Netherlands,onsite,bootcamp,medium,18,1
3,10,UK,hybrid,phd,large,2,0
4,1,Lithuania,onsite,bachelor,large,27,0
6,8,Lithuania,hybrid,bootcamp,large,6,1
8,0,Lithuania,onsite,master,small,39,0
6,10,Poland,onsite,phd,large,6,1
12,9,Lithuania,remote,master,small,6,1
4,5,UK,remote,bachelor,medium,31,0
9,8,Lithuania,remote,phd,medium,41,1
9,0,Germany,remote,phd,medium,40,0
6,3,Lithuania,onsite,phd,large,30,0
13,3,Spain,hybrid,self-taught,medium,21,0
14,8,Netherlands,onsite,phd,large,41,1
9,10,Poland,remote,master,small,44,1
4,4,USA,remote,master,medium,18,0
2,4,Netherlands,hybrid,bachelor,small,23,0
6,5,Germany,remote,bootcamp,large,38,0
12,0,Poland,onsite,bootcamp,large,23,0
10,0,UK,onsite,self-taught,medium,28,0
10,8,Ukraine,onsite,phd,medium,36,1
1,2,Poland,onsite,self-taught,large,25,0
14,3,Spain,onsite,bachelor,medium,7,0
11,0,UK,hybrid,bachelor,medium,18,0
8,8,Netherlands,onsite,bootcamp,small,20,1
9,7,Netherlands,remote,bachelor,large,5,1
9,1,Lithuania,remote,phd,small,18,0
11,7,UK,remote,master,medium,42,1
0,6,Ukraine,remote,bachelor,small,40,0
12,10,Spain,hybrid,self-taught,large,33,1
5,5,Lithuania,remote,phd,small,15,0
6,0,Lithuania,hybrid,bachelor,small,35,0
13,6,Ukraine,remote,bachelor,medium,47,1
12,9,Poland,hybrid,phd,large,46,1
7,6,Netherlands,hybrid,bachelor,medium,1,1
9,8,Lithuania,hybrid,master,medium,21,1
8,0,Germany,remote,bootcamp,large,8,0
1,1,Germany,hybrid,phd,small,7,0
10,10,Netherlands,onsite,self-taught,medium,41,1
9,8,Germany,onsite,bachelor,small,44,1
1,8,Ukraine,remote,bootcamp,large,40,0
4,5,Poland,onsite,self-taught,medium,40,0
12,5,Spain,onsite,self-taught,small,30,1
4,3,USA,onsite,master,small,38,0
5,3,Lithuania,remote,bootcamp,medium,35,0
2,4,USA,remote,phd,large,2,0
7,2,Spain,onsite,bootcamp,small,46,0
12,0,Spain,remote,bootcamp,large,8,0
0,0,Ukraine,hybrid,self-taught,medium,38,0
5,6,Poland,onsite,master,small,4,1
3,0,Germany,remote,master,small,37,0
0,0,Germany,remote,bootcamp,small,21,0
14,2,Ukraine,onsite,bootcamp,large,13,1
6,9,Spain,remote,bachelor,small,9,1
8,3,Poland,onsite,self-taught,small,45,0
12,3,Poland,remote,phd,medium,29,1
3,1,Netherlands,hybrid,phd,small,41,0
3,0,UK,onsite,master,large,24,0
5,2,Lithuania,hybrid,self-taught,medium,16,0
11,10,Ukraine,onsite,master,medium,12,1
14,3,UK,remote,phd,small,2,1
2,2,Ukraine,hybrid,bootcamp,medium,19,0
12,7,Germany,remote,self-taught,small,30,1
11,9,Spain,onsite,self-taught,medium,16,1
5,0,Ukraine,onsite,bachelor,large,24,0
6,1,Ukraine,onsite,bootcamp,small,13,0
10,6,Netherlands,onsite,bootcamp,large,5,1
9,3,USA,onsite,master,small,23,1
9,7,Germany,hybrid,self-taught,large,38,1
2,10,Lithuania,onsite,master,large,31,1
6,2,Poland,remote,bootcamp,medium,17,0
13,5,Spain,hybrid,bachelor,small,49,1
2,8,Germany,remote,self-taught,medium,49,1
12,0,USA,onsite,bootcamp,large,3,0
12,0,Ukraine,remote,bachelor,small,26,0
1,7,Lithuania,hybrid,phd,large,13,0
11,2,Ukraine,hybrid,bootcamp,large,44,0
13,4,Lithuania,hybrid,phd,large,38,1
9,0,Netherlands,remote,master,large,22,1
3,4,Ukraine,hybrid,phd,medium,21,1
11,10,Germany,remote,bootcamp,large,29,1
7,5,USA,onsite,phd,medium,45,0
12,7,Lithuania,onsite,self-taught,large,46,1
14,2,Spain,remote,bootcamp,small,39,1
8,2,Lithuania,hybrid,bachelor,large,5,0
6,10,USA,remote,phd,large,14,1
0,10,Poland,remote,self-taught,small,18,0
2,9,Poland,remote,master,small,4,1
12,8,Netherlands,onsite,master,large,33,1
11,3,Germany,remote,phd,large,39,1
13,3,USA,onsite,master,medium,20,1
8,6,Netherlands,remote,bachelor,small,13,0
14,1,UK,onsite,bootcamp,small,36,1
11,7,Lithuania,remote,self-taught,medium,45,1
0,5,UK,remote,phd,large,4,0
8,2,Lithuania,hybrid,master,large,35,0
7,8,Poland,hybrid,bootcamp,small,8,1
0,4,Netherlands,remote,bachelor,medium,40,0
5,7,Poland,remote,master,large,49,1
4,6,Spain,remote,master,small,47,0
5,7,UK,remote,self-taught,large,36,0
9,6,UK,hybrid,bachelor,large,6,1
11,2,Poland,onsite,bachelor,large,22,0
12,1,Spain,remote,phd,small,6,1
12,6,Lithuania,hybrid,self-taught,medium,42,1
12,2,Netherlands,remote,phd,medium,36,1
14,2,Spain,remote,self-taught,large,9,0
4,1,Netherlands,onsite,bachelor,medium,16,0
5,3,UK,remote,self-taught,large,39,0
4,7,Netherlands,remote,self-taught,small,46,0
10,0,UK,onsite,self-taught,small,38,0
11,0,Spain,onsite,bootcamp,small,33,0
4,4,UK,onsite,bootcamp,large,18,0
3,10,Ukraine,onsite,bachelor,medium,12,1
2,4,Germany,hybrid,self-taught,small,27,0
2,10,UK,hybrid,bachelor,large,47,0
3,0,Poland,hybrid,bootcamp,medium,1,0
8,5,Spain,remote,self-taught,medium,15,1
1,0,Ukraine,onsite,phd,medium,47,0
14,4,Lithuania,onsite,bootcamp,large,27,1
8,8,Netherlands,hybrid,bootcamp,large,16,1
0,4,Ukraine,remote,bootcamp,large,21,0
13,5,USA,remote,self-taught,small,1,1
14,7,Ukraine,remote,master,large,29,1
14,10,Spain,hybrid,phd,small,3,1
0,0,Ukraine,remote,phd,small,12,0
4,1,Ukraine,remote,bachelor,small,28,0
5,8,Poland,remote,self-taught,large,39,1
5,2,UK,onsite,bootcamp,small,37,0
2,5,Netherlands,hybrid,master,large,31,1
6,4,Germany,onsite,self-taught,large,31,0
8,10,Lithuania,onsite,self-taught,small,33,1
10,1,Germany,hybrid,master,small,33,0
11,6,Ukraine,onsite,bootcamp,small,47,1
9,3,USA,remote,self-taught,large,40,0
7,0,Spain,remote,phd,large,11,0
5,3,Netherlands,remote,phd,small,46,0
11,5,Spain,remote,master,small,29,1
7,6,Poland,hybrid,bootcamp,medium,25,1
11,6,Spain,onsite,master,small,13,1
4,6,Lithuania,onsite,self-taught,medium,44,1
7,2,USA,remote,phd,medium,19,0
9,5,Germany,remote,bachelor,large,36,1
11,7,Ukraine,onsite,master,large,28,1
3,3,Ukraine,hybrid,bachelor,medium,4,0
9,7,USA,onsite,bachelor,medium,3,1
7,1,Netherlands,remote,phd,small,38,0
9,9,Spain,remote,master,medium,37,1
11,8,Netherlands,hybrid,bachelor,small,43,1
1,8,Germany,onsite,self-taught,large,25,1
11,7,Netherlands,hybrid,bootcamp,small,41,1
11,9,Poland,hybrid,bootcamp,large,35,1
4,9,USA,remote,phd,medium,29,1
8,0,Germany,onsite,master,medium,41,0
3,1,Germany,remote,master,medium,29,0
10,5,UK,onsite,bootcamp,small,12,1
5,9,Germany,remote,self-taught,large,35,1
14,4,UK,remote,bootcamp,large,20,1
0,8,Lithuania,onsite,bootcamp,large,17,0
8,4,Ukraine,onsite,master,large,12,1
0,1,UK,remote,bachelor,large,36,0
4,9,USA,onsite,self-taught,small,10,1
3,3,Netherlands,remote,master,large,18,0
12,8,UK,onsite,bootcamp,medium,30,1
11,0,Germany,remote,bachelor,large,8,0
12,10,USA,remote,self-taught,medium,41,1
12,0,UK,remote,phd,small,13,0
13,6,UK,hybrid,self-taught,small,31,1
2,10,Germany,onsite,self-taught,medium,6,1
12,2,Poland,remote,bootcamp,large,7,0
5,9,Poland,hybrid,bootcamp,small,21,1
1,1,UK,remote,phd,small,38,0
2,8,Poland,hybrid,phd,small,43,0
4,2,Spain,remote,phd,large,49,0
14,1,Germany,remote,master,medium,28,1
8,7,Spain,hybrid,master,medium,44,1
1,9,USA,hybrid,bootcamp,large,21,0
9,5,Spain,onsite,bootcamp,small,21,0
7,5,USA,onsite,phd,large,24,1
13,9,UK,hybrid,master,large,27,1
1,10,USA,onsite,bachelor,medium,27,1
10,6,USA,hybrid,master,large,13,1
12,6,Netherlands,onsite,bootcamp,large,29,1
4,10,Spain,remote,master,small,39,1
6,5,Netherlands,onsite,bootcamp,small,28,0
7,3,UK,remote,phd,medium,37,0
0,10,Germany,remote,phd,small,29,1
5,8,Spain,onsite,phd,large,48,1
0,5,Germany,hybrid,bachelor,large,22,0
1,3,Germany,remote,bachelor,large,36,0
14,2,USA,remote,bootcamp,medium,30,0
0,3,Ukraine,onsite,self-taught,small,28,0
10,2,Spain,hybrid,bachelor,large,23,0
4,1,Germany,hybrid,bootcamp,small,33,0
9,4,Ukraine,onsite,master,small,4,0
14,1,Poland,hybrid,phd,small,3,1
8,5,Germany,onsite,phd,small,32,1
5,2,Poland,onsite,phd,medium,4,0
10,5,Spain,onsite,bootcamp,medium,1,1
10,10,UK,remote,phd,medium,12,1
0,9,Netherlands,remote,bachelor,large,13,0
12,8,Spain,remote,master,large,34,1
0,0,Netherlands,onsite,phd,large,29,0
1,5,Netherlands,remote,bootcamp,medium,9,0
8,8,Spain,remote,master,small,31,1
2,10,Germany,remote,phd,medium,7,1
14,3,Lithuania,onsite,self-taught,large,13,1
0,10,Germany,onsite,phd,large,2,0
4,1,Germany,onsite,bachelor,small,33,0
6,3,UK,remote,master,medium,7,0
5,0,USA,hybrid,bachelor,small,18,0
11,2,USA,remote,self-taught,medium,8,0
0,9,Germany,remote,self-taught,large,12,1
4,8,Poland,onsite,bachelor,small,43,1
14,9,UK,onsite,master,small,30,1
4,4,Netherlands,remote,self-taught,medium,9,0
5,10,Ukraine,remote,self-taught,medium,28,1
2,5,USA,hybrid,phd,medium,4,0
4,2,Germany,hybrid,bootcamp,large,39,0
6,4,UK,onsite,self-taught,medium,17,1
4,10,Lithuania,hybrid,master,large,11,1
4,7,Poland,hybrid,master,medium,2,1
4,5,Spain,onsite,phd,medium,23,0
9,3,Germany,hybrid,master,large,22,0
9,1,UK,remote,phd,medium,26,1
2,8,Germany,hybrid,self-taught,large,12,1
0,0,Ukraine,onsite,self-taught,large,32,0
4,0,Netherlands,remote,self-taught,medium,9,0
13,3,Poland,hybrid,self-taught,medium,43,1
8,6,USA,remote,bootcamp,small,5,0
13,0,USA,remote,bootcamp,medium,26,0
0,8,USA,hybrid,self-taught,small,7,1
2,3,Ukraine,hybrid,master,medium,29,0
12,2,Spain,onsite,phd,large,33,1
12,0,UK,onsite,bachelor,large,24,0
3,9,Poland,remote,phd,small,25,1
13,3,Poland,onsite,bachelor,medium,31,1
0,8,USA,remote,bachelor,small,29,0
0,9,USA,remote,self-taught,medium,5,1
7,5,Netherlands,onsite,bachelor,medium,38,0
1,5,Ukraine,onsite,self-taught,large,45,0
11,0,Lithuania,onsite,bootcamp,small,11,0
14,9,Lithuania,hybrid,master,large,32,1
7,1,Germany,remote,bachelor,large,8,0
6,10,Germany,remote,master,large,20,1
9,5,Poland,remote,self-taught,small,34,1
9,1,Poland,onsite,bachelor,medium,47,0
1,2,Spain,onsite,phd,medium,42,0
5,3,Spain,onsite,bootcamp,small,8,0
5,10,Lithuania,onsite,bootcamp,medium,2,1
2,4,Ukraine,onsite,bachelor,small,21,0
10,8,Germany,hybrid,bootcamp,small,15,1
1,3,Lithuania,onsite,phd,medium,6,0
11,10,Ukraine,remote,master,large,5,1
0,8,Lithuania,onsite,phd,small,3,1
5,10,Germany,remote,bootcamp,small,43,1
11,9,UK,onsite,master,small,43,1
4,2,Spain,onsite,phd,small,16,0
13,7,Netherlands,remote,self-taught,medium,35,1
13,0,Netherlands,remote,self-taught,medium,9,0
10,10,Netherlands,remote,master,small,35,1
8,8,Germany,remote,master,large,19,1
0,8,USA,hybrid,master,medium,43,0
14,9,USA,remote,self-taught,large,46,1
14,1,USA,onsite,phd,large,34,1
6,3,Poland,onsite,master,small,39,0
14,7,Spain,hybrid,self-taught,medium,10,1
4,6,Spain,remote,master,small,10,0
4,0,UK,onsite,master,small,20,0
13,4,UK,hybrid,master,large,1,1
1,6,Poland,onsite,self-taught,large,6,0
10,3,Lithuania,hybrid,phd,large,46,1
2,0,Ukraine,hybrid,self-taught,small,2,0
6,8,UK,remote,self-taught,small,38,1
5,4,Netherlands,hybrid,master,small,33,0
11,10,USA,onsite,bachelor,small,3,1
1,1,Netherlands,onsite,bachelor,small,36,0
5,7,USA,remote,bachelor,small,13,1
1,10,Netherlands,remote,self-taught,small,35,1
1,1,Lithuania,hybrid,master,small,15,0
1,2,Ukraine,remote,bachelor,medium,45,0
13,9,Netherlands,onsite,bootcamp,medium,22,1
14,0,Netherlands,onsite,bootcamp,medium,43,0
10,10,Germany,remote,bootcamp,medium,4,1
2,1,Ukraine,remote,phd,small,17,0
14,6,Netherlands,remote,master,small,5,1
1,9,Germany,hybrid,self-taught,large,21,1
3,1,Spain,hybrid,self-taught,large,24,0
8,5,Ukraine,onsite,master,medium,31,1
5,2,Poland,hybrid,phd,large,40,0
0,3,Ukraine,hybrid,master,medium,30,0
7,10,Ukraine,hybrid,phd,small,42,1
14,7,Netherlands,hybrid,bachelor,small,7,1
11,2,Spain,onsite,bachelor,large,49,1
13,9,Ukraine,remote,phd,small,7,1
6,5,UK,onsite,master,small,27,0
9,0,UK,hybrid,bachelor,medium,24,0
2,6,Germany,remote,master,large,19,0
0,7,Netherlands,remote,bachelor,small,41,0
4,10,Netherlands,remote,master,large,34,1
12,7,Ukraine,onsite,master,small,22,1
3,2,Lithuania,remote,bootcamp,medium,27,0
9,9,Spain,onsite,phd,small,6,1
7,0,USA,onsite,self-taught,large,10,0
0,8,USA,hybrid,phd,large,45,1
9,5,Lithuania,hybrid,master,medium,31,1
0,10,Germany,remote,master,small,25,0
11,8,USA,remote,phd,medium,2,1
3,6,Ukraine,hybrid,master,large,10,1
7,0,USA,onsite,bachelor,medium,10,0
4,0,UK,onsite,master,small,26,0
1,5,UK,hybrid,phd,small,5,0
5,4,Poland,onsite,phd,medium,22,0
4,8,Spain,hybrid,phd,large,4,0
1,1,Germany,hybrid,bootcamp,large,34,0
12,7,Netherlands,remote,bootcamp,medium,7,1
13,10,Spain,remote,bootcamp,small,17,1
10,4,Germany,hybrid,bootcamp,small,11,1
10,1,USA,remote,bootcamp,small,8,0
10,9,Poland,hybrid,bootcamp,small,28,1
2,10,Spain,onsite,bootcamp,large,44,1
14,10,USA,onsite,phd,small,33,1
8,5,Germany,onsite,self-taught,medium,25,0
6,9,Spain,onsite,bootcamp,medium,21,1
6,7,Netherlands,hybrid,phd,medium,12,1
14,3,Spain,onsite,self-taught,medium,26,1
10,1,USA,onsite,bootcamp,small,29,0
5,10,Ukraine,onsite,self-taught,large,38,1
7,4,Ukraine,onsite,self-taught,small,35,1
3,1,Spain,hybrid,bachelor,large,37,0
7,1,Netherlands,onsite,master,small,46,0
3,5,Poland,remote,bachelor,large,44,0
7,10,Poland,remote,self-taught,medium,45,1
8,9,Ukraine,remote,phd,medium,45,1
2,8,USA,remote,bootcamp,large,29,0
2,3,Germany,remote,master,large,49,0
10,5,USA,remote,bootcamp,large,24,1
12,6,Poland,hybrid,phd,medium,15,1
1,10,Lithuania,remote,master,medium,6,1
12,5,Lithuania,onsite,bachelor,small,32,1
9,7,Spain,remote,self-taught,large,44,1
2,3,Netherlands,hybrid,phd,large,34,0
2,0,Ukraine,remote,self-taught,large,36,0
4,6,UK,onsite,self-taught,medium,20,0
4,2,UK,onsite,bootcamp,large,12,0
1,5,UK,hybrid,phd,large,35,0
11,1,Spain,hybrid,self-taught,medium,49,0
9,8,Lithuania,hybrid,bachelor,large,38,1
12,0,Poland,hybrid,master,small,17,0
5,5,Spain,remote,phd,medium,27,1
4,5,UK,remote,bootcamp,medium,17,0
5,4,UK,onsite,phd,medium,11,0
0,4,Ukraine,hybrid,bootcamp,small,39,0
4,0,USA,hybrid,master,medium,2,0
8,9,UK,remote,bachelor,medium,2,1
11,4,Netherlands,hybrid,self-taught,medium,29,1
9,1,UK,onsite,phd,medium,45,0
13,6,USA,onsite,bootcamp,small,24,1
1,2,UK,hybrid,master,large,24,0
0,3,Netherlands,onsite,self-taught,large,16,0
13,2,Poland,onsite,master,medium,31,1
9,2,Spain,remote,bachelor,small,49,0
12,3,Netherlands,onsite,self-taught,medium,43,1
10,4,USA,hybrid,self-taught,large,9,0
8,0,Spain,hybrid,self-taught,large,27,0
9,3,Spain,onsite,bootcamp,small,41,0
8,10,USA,hybrid,self-taught,large,14,1
14,7,Ukraine,remote,master,medium,45,1
8,9,Lithuania,onsite,bootcamp,small,25,1
5,6,UK,onsite,self-taught,large,43,0
14,8,Netherlands,onsite,master,medium,44,1
7,4,USA,hybrid,master,small,22,1
13,9,Poland,hybrid,phd,medium,35,1
10,3,Germany,onsite,master,large,33,1
14,7,USA,hybrid,bachelor,medium,27,1
12,8,UK,hybrid,self-taught,small,40,1
0,6,UK,onsite,self-taught,medium,26,0
9,6,Spain,onsite,self-taught,large,19,1
3,4,Spain,hybrid,master,small,45,0
0,3,USA,onsite,master,small,39,0
7,9,Germany,onsite,self-taught,large,45,1
0,0,Ukraine,onsite,bootcamp,medium,26,0
2,9,USA,onsite,bootcamp,medium,6,0
12,9,Germany,hybrid,bachelor,large,3,1
3,6,Ukraine,onsite,phd,small,6,1
14,0,Germany,remote,bachelor,large,28,1
14,0,UK,onsite,self-taught,small,3,0
14,4,UK,remote,self-taught,small,13,1
7,8,UK,onsite,self-taught,medium,13,1
5,5,Poland,remote,phd,large,13,1
13,2,UK,remote,master,small,1,1
9,2,Netherlands,onsite,phd,medium,40,0
11,6,Spain,onsite,bachelor,large,37,1
6,5,Spain,onsite,master,large,31,0
13,8,Germany,remote,master,small,17,1
7,5,Spain,hybrid,bachelor,small,9,1
1,4,Lithuania,hybrid,master,small,45,0
12,9,Ukraine,onsite,bootcamp,large,13,1
9,6,Germany,hybrid,bachelor,small,37,1
13,0,Spain,hybrid,bachelor,large,14,1
10,6,Lithuania,onsite,bootcamp,medium,11,0
7,2,Ukraine,remote,phd,large,25,0
2,8,Poland,onsite,phd,small,31,0
6,5,Spain,hybrid,phd,large,14,0
2,8,Lithuania,remote,master,small,7,1
14,4,USA,hybrid,bootcamp,medium,24,1
6,6,Netherlands,remote,bachelor,small,49,1
13,3,USA,hybrid,bachelor,small,36,1
10,6,Lithuania,onsite,bachelor,small,42,1
14,0,Germany,hybrid,master,small,42,1
11,6,UK,hybrid,master,small,47,1
12,7,UK,remote,phd,small,44,1
1,4,UK,hybrid,master,medium,41,0
9,1,Ukraine,onsite,phd,medium,3,0
5,4,Germany,onsite,phd,large,47,1
2,5,Ukraine,onsite,bachelor,small,44,0
2,1,Spain,remote,master,large,26,0
14,5,UK,remote,phd,medium,47,1
8,5,USA,hybrid,bootcamp,medium,26,1
6,0,Germany,hybrid,bootcamp,small,1,0
4,0,Germany,hybrid,master,small,15,0
11,10,UK,remote,bachelor,large,11,1
9,9,USA,remote,bachelor,medium,37,1
6,2,Poland,hybrid,phd,large,7,0
8,9,Germany,remote,master,large,12,1
0,9,UK,remote,bootcamp,large,38,0
6,2,Netherlands,onsite,phd,small,3,0
5,3,Lithuania,onsite,phd,medium,42,0
9,1,Ukraine,hybrid,self-taught,large,26,0
13,8,Spain,hybrid,master,medium,30,1
11,9,Germany,onsite,phd,medium,32,1
8,10,Netherlands,remote,bootcamp,large,36,1
0,6,Netherlands,hybrid,self-taught,large,45,0
12,6,Germany,hybrid,bootcamp,small,37,1
3,5,Poland,hybrid,bachelor,medium,18,0
8,2,Lithuania,remote,self-taught,large,1,0
3,5,Spain,onsite,self-taught,large,21,0
9,7,Germany,hybrid,phd,medium,28,1
2,7,Ukraine,onsite,bachelor,large,48,0
8,10,Spain,onsite,phd,medium,16,1
12,8,USA,remote,master,large,48,1
1,0,Netherlands,remote,bootcamp,medium,28,0
14,0,Netherlands,remote,bootcamp,large,22,0
3,2,Germany,remote,phd,large,19,0
14,2,Germany,remote,bootcamp,small,48,0
5,9,Ukraine,remote,bootcamp,medium,1,1
1,7,USA,hybrid,master,small,31,0
14,9,Poland,onsite,bachelor,large,42,1
